ID,Famille,Catégorie,Nom français,Nom court,Type,Numéro,rue,Étage,Bureau,Ville,Code postal,Arrondissement,Classification,Longitude,Latitude
3067,Culturel,Lieu de diffusion,Auditorium Le Prévost,,Lieu de diffusion municipal,7355,Avenue Christophe-Colomb,0, ,Montréal,H2R 2S5,Villeray–Saint-Michel–Parc-Extension,niveau 1,-73.61465454,45.54407545
3068,Culturel,Bibliothèque,Bibliothèque de Parc-Extension,,Bibliothèque publique,421,Rue Saint-Roch,0, ,Montréal,H3N 1K2,Villeray–Saint-Michel–Parc-Extension,niveau 1,-73.63019828,45.53186974
3069,Culturel,Bibliothèque,Bibliothèque de Saint-Michel,,Bibliothèque publique,7601,Rue François-Perreault,0, ,Montréal,H2A 3L6,Villeray–Saint-Michel–Parc-Extension,niveau 1,-73.60195994,45.56230343
3070,Culturel,Bibliothèque,Bibliothèque des jeunes de Montréal,Bibliothèque des jeunes,Bibliothèque publique,4121,42e Rue,0, ,Montréal,H1Z 1R8,Villeray–Saint-Michel–Parc-Extension,niveau 2,-73.61874994,45.57903549
3071,Culturel,Bibliothèque,Bibliothèque Le Prévost,,Bibliothèque publique,7355,Avenue Christophe-Colomb,0, ,Montréal,H2R 2S5,Villeray–Saint-Michel–Parc-Extension,niveau 1,-73.61443063,45.54410212
3072,Service public,Service municipal,Bureau Accès Montréal de Villeray–Saint-Michel–Parc-Extension,Bureau Accès Montréal,Bureau Accès Montréal et bureaux municipaux,405,Avenue Ogilvy,0,110,Montréal,H3N 1M3,Villeray–Saint-Michel–Parc-Extension,niveau 2,-73.62483593,45.53086707
3073,Service public,Service gouvernemental,Carrefour Jeunesse Emploi du Centre-Nord,Carrefour Jeunesse-Emploi,Centre de service gouvernemental,3565,Rue Jarry Est,0,401,Montréal,H1Z 4K6,Villeray–Saint-Michel–Parc-Extension,niveau 2,-73.6074168,45.56688596
3074,Culturel,Lieu de diffusion,Casa d’Italia,,Théâtre / salle de spectacle / petit lieu de diffusion,505,Rue Jean-Talon Est,0, ,Montréal,H2R 1T6,Villeray–Saint-Michel–Parc-Extension,niveau 3,-73.61410323,45.53928147
3075,Commercial,Regroupement de commerces,Centre commercial Le Boulevard,,Centre commercial,4270,Rue Jean-Talon Est,0, ,Montréal,H1S 1J7,Saint-Léonard,niveau 2,-73.58843994,45.56715012
3077,Culturel,Lieu de diffusion,Maison de la culture Claude-Léveillée,,Lieu de diffusion municipal,911,Rue Jean-Talon Est,0, ,Montréal,H2R 1W5,Villeray–Saint-Michel–Parc-Extension,niveau 1,-73.61333081,45.54160979
3078,Service public,Service gouvernemental,Centre local d’emploi de Parc-Extension,Centre local d’emploi,Centre de service gouvernemental,7077,Avenue du Parc,0,101,Montréal,H3N 1X7 ,Villeray–Saint-Michel–Parc-Extension,niveau 2,-73.61999925,45.53004982
3079,Service public,Service gouvernemental,Centre local d’emploi de Saint-Michel,Centre local d’emploi,Centre de service gouvernemental,3750,Boulevard Crémazie ,0, ,Montréal,H2A 2P6 ,Villeray–Saint-Michel–Parc-Extension,niveau 2,-73.60236385,45.56662516
3080,Service public,Service de santé,CLSC de Parc-Extension,,CLSC,7085,Rue Hutchison,0, ,Montréal,H3N 1Y9,Villeray–Saint-Michel–Parc-Extension,niveau 3,-73.62088762,45.52949778
3081,Service public,Service de santé,CLSC de Saint-Michel,,CLSC,3355,Rue Jarry Est,0, ,Montréal,H1Z 2E5,Villeray–Saint-Michel–Parc-Extension,niveau 3,-73.60855146,45.5652478
3082,Service public,Service de santé,CLSC de Villeray,,CLSC,1425,Rue Jarry Est,0, ,Montréal,H2E 1A7,Villeray–Saint-Michel–Parc-Extension,niveau 3,-73.62094566,45.5514926
3083,Culturel,Établissement culturel,Pavillon d'accueil et d'interprétation du Parc Frédéric-Back,Pavillon du Parc Frédéric-Back,Musée et centre d'interprétation / d'exposition,2235,Rue Michel-Jurdant,0, ,Montréal,H1Z 4N1,Villeray–Saint-Michel–Parc-Extension,niveau 4,-73.61611176,45.55833435
3084,Culturel,Art public,"Cooke-Sasseville, Le mélomane, 2011",Le mélomane,Art public, , ,0, ,Montréal, ,Villeray–Saint-Michel–Parc-Extension,niveau 3,-73.60085297,45.56219864
3085,Service public,Service de santé,CSSS du Coeur-de-l’Île,,CSSS,1385,Rue Jean-Talon Est,0, ,Montréal,H2E 1S6,Villeray–Saint-Michel–Parc-Extension,niveau 3,-73.60931572,45.54590759
3086,Service public,Service municipal,Bureau des permis et de l’inspection,,Bureau Accès Montréal et bureaux municipaux,405,Avenue Ogilvy,0,111,Montréal,H3N 1M3,Villeray–Saint-Michel–Parc-Extension,niveau 2,-73.62504129,45.53045414
3088,Service public,Établissement scolaire,École Barclay,,École primaire,7941,Avenue Wiseman,0, ,Montréal,H3N 2P2,Villeray–Saint-Michel–Parc-Extension,niveau 4,-73.63536591,45.52904304
3089,Service public,Établissement scolaire,École Barthélemy-Vimont,,École primaire,415,Rue Saint-Roch,0, ,Montréal,H3N 1K2,Villeray–Saint-Michel–Parc-Extension,niveau 4,-73.62879181,45.53168928
